DMG_ID	percent_occurrence	dc_blast_hit	max_blastn_hit_length	ORF_ID	ORF_length	annotation	contig	start	stop
				Pdam_TMW21535_fig_51663_45_peg_2119	171	hypothetical protein pL21535-2 37754-37924	pL21535-2	37924	37754
DMG_52	100	yes	341	Pdam_TMW21533_fig_51663_47_peg_2120	1026	COG2826_ Transposase and inactivated derivatives2C IS30 family pL21533-3 59917-60942	pL21533-3	60942	59917
				Pdam_TMW21535_fig_51663_45_peg_2120	1026	COG2826_ Transposase and inactivated derivatives2C IS30 family pL21535-2 38105-39130	pL21535-2	39130	38105
DMG_53	100	no	23	Pdam_TMW21533_fig_51663_47_peg_2162	1077	Beta-hexosaminidase _EC 3_2_1_52_;Ontology_term_KEGG_ENZYME_3_2_1_52 pL21533-5 1975-3051	pL21533-5	3051	1975
				Pdam_TMW21535_fig_51663_45_peg_2160	1077	Beta-hexosaminidase _EC 3_2_1_52_;Ontology_term_KEGG_ENZYME_3_2_1_52 pL21535-3 21673-22749	pL21535-3	21673	22749
DMG_54	100	yes	337	Pdam_TMW21533_fig_51663_47_peg_2163	1029	COG2826_ Transposase and inactivated derivatives2C IS30 family pL21533-5 3213-4241	pL21533-5	4241	3213
				Pdam_TMW21535_fig_51663_45_peg_2159	1029	COG2826_ Transposase and inactivated derivatives2C IS30 family pL21535-3 20482-21510	pL21535-3	20482	21510
DMG_55	100	no	33	Pdam_TMW21533_fig_51663_47_peg_2173	900	Chromosome _plasmid_ partitioning protein ParA pL21533-5 13748-14647	pL21533-5	13748	14647
				Pdam_TMW21535_fig_51663_45_peg_2128	900	Chromosome _plasmid_ partitioning protein ParA pL21535-2 49270-50169	pL21535-2	49270	50169
DMG_56	100	no	78	Pdam_TMW21533_fig_51663_47_peg_2180	987	Mobile element protein pL21533-5 20960-21946	pL21533-5	21946	20960
				Pdam_TMW21535_fig_51663_45_peg_2090	1026	Mobile element protein pL21535-2 2730-3755	pL21535-2	3755	2730
DMG_57	100	no	25	Pdam_TMW21533_fig_51663_47_peg_2181	192	Methyl-directed repair DNA adenine methylase _EC 2_1_1_72_;Ontology_term_KEGG_ENZYME_2_1_1_72 pL21533-5 22004-22195	pL21533-5	22195	22004
				Pdam_TMW21535_fig_51663_45_peg_2091	192	Methyl-directed repair DNA adenine methylase _EC 2_1_1_72_;Ontology_term_KEGG_ENZYME_2_1_1_72 pL21535-2 3774-3965	pL21535-2	3965	3774
DMG_58	100	no	33	Pdam_TMW21533_fig_51663_47_peg_2183	891	intercellular adhesion protein pL21533-5 23215-24105	pL21533-5	24105	23215
				Pdam_TMW21535_fig_51663_45_peg_2162	891	intercellular adhesion protein pL21535-3 24299-25189	pL21535-3	24299	25189
DMG_59	100	no	20	Pdam_TMW21533_fig_51663_47_peg_2200	231	hypothetical protein pL21533-7 2486-2716	pL21533-7	2486	2716
				Pdam_TMW21535_fig_51663_45_peg_2286	231	hypothetical protein pL21535-4 2486-2716	pL21535-4	2486	2716
DMG_60	100	no	18	Pdam_TMW21533_fig_51663_47_peg_2203	288	FIG00742610_ hypothetical protein pL21533-7 4194-4481	pL21533-7	4194	4481
				Pdam_TMW21535_fig_51663_45_peg_2289	288	FIG00742610_ hypothetical protein pL21535-4 4194-4481	pL21535-4	4194	4481
DMG_61	100	no	110	Pdam_TMW21533_fig_51663_47_peg_2205	924	Mobile element protein pL21533-7 5110-6033	pL21533-7	6033	5110
				Pdam_TMW21535_fig_51663_45_peg_2291	963	Mobile element protein pL21535-4 5110-6072	pL21535-4	6072	5110
DMG_62	100	yes	28	Pdam_TMW21533_fig_51663_47_peg_2208	786	putative plasmid partition protein pL21533-7 6951-7736	pL21533-7	6951	7736
				Pdam_TMW21535_fig_51663_45_peg_2293	786	putative plasmid partition protein pL21535-4 6951-7736	pL21535-4	6951	7736
DMG_63	100	no	26	Pdam_TMW21533_fig_51663_47_peg_2209	204	hypothetical protein pL21533-7 7791-7994	pL21533-7	7791	7994
				Pdam_TMW21535_fig_51663_45_peg_2294	204	hypothetical protein pL21535-4 7791-7994	pL21535-4	7791	7994
DMG_64	100	yes	65	Pdam_TMW21533_fig_51663_47_peg_2233	519	hypothetical protein pL21533-7 19594-20112	pL21533-7	20112	19594
				Pdam_TMW21535_fig_51663_45_peg_2307	519	hypothetical protein pL21535-4 19596-20114	pL21535-4	20114	19596
DMG_65	100	no	23	Pdam_TMW21533_fig_51663_47_peg_2258	132	hypothetical protein pL21533-7 38683-38814	pL21533-7	38814	38683
				Pdam_TMW21535_fig_51663_45_peg_2329	132	hypothetical protein pL21535-4 38722-38853	pL21535-4	38853	38722
DMG_66	100	yes	87	Pdam_TMW21533_fig_51663_47_peg_2259	354	FIG00747635_ hypothetical protein pL21533-7 39115-39468	pL21533-7	39468	39115
				Pdam_TMW21535_fig_51663_45_peg_2330	354	FIG00747635_ hypothetical protein pL21535-4 39154-39507	pL21535-4	39507	39154
